Name,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_hybrid
Shenzhen Sinexcel Electric Co - Ltd: PWS1-500KTL-NA [400V],400,2863.59,498340,518484,750,-3.96E-08,1.90E-05,0.00118675,0.000259979,289.9,900,691.312,640,900,10/15/2018,N
Shenzhen Sinexcel Electric Co - Ltd: PWS1-50K-NA [480V],480,659.117,48580,51511.3,650,-5.80E-07,2.15E-05,0.00038408,1.84E-05,860,850,79.2481,500,850,10/15/2018,N
Shenzhen Sinexcel Electric Co - Ltd: PWS2-30K-NA [480V],480,154.571,30020,31070.6,600,-4.64E-07,-5.59E-05,-0.00176721,-0.00210332,1.857,750,51.7844,350,750,10/01/2021,N
Sol-Ark: Sol-Ark-12K-P [208V],208,82.1362,8820,9098.63,370,-1.98E-06,-7.59E-06,-0.00121663,-0.00320587,13.4,425,24.5909,240,425,07/12/2021,Y
Sol-Ark: Sol-Ark-12K-P [240V],240,87.4653,8980,9251.47,370,-2.24E-06,3.49E-06,0.00121848,0.0037961,13.4,425,25.004,240,425,07/12/2021,Y
Sol-Ark: Sol-Ark-8k-48-ST [208V],208,72.8934,7839,8082.8,370,-2.21E-06,-7.35E-06,-0.00100082,-0.00253433,13.4,425,21.8454,240,425,07/12/2021,Y
Sol-Ark: Sol-Ark-8k-48-ST [240V],240,77.8636,7976,8213.79,370,-2.51E-06,1.42E-06,0.00134225,0.00420471,13.4,425,22.1994,240,425,07/12/2021,Y
Sol-Ark: Sol-Ark-9k-48-ST [208V],208,82.1362,8820,9098.63,370,-1.98E-06,-7.59E-06,-0.00121663,-0.00320587,13.4,425,24.5909,240,425,7/21/2020,Y
Sol-Ark: Sol-Ark-9k-48-ST [240V],240,87.4653,8980,9251.47,370,-2.24E-06,3.49E-06,0.00121848,0.0037961,13.4,425,25.004,240,425,7/21/2020,Y
SolaX Power Network Technology (Zhe jiang) Co - Ltd : A1-Fit-6.0-US [240V],240,77.7696,5732,6025.25,430,-2.61E-06,-1.16E-05,-0.000183989,-0.00125974,25,500,14.0122,360,500,n/a,N
SolaX Power Network Technology (Zhe jiang) Co - Ltd : A1-Fit-7.0-US [240V],240,86.2952,6680,7047.85,390,-5.26E-06,-1.09E-05,0.000700888,-0.00052983,25,500,18.0714,280,500,n/a,N
SolaX Power Network Technology (Zhe jiang) Co - Ltd : A1-Fit-7.6-US [240V],240,48.8966,7832,8223.37,375,-2.98E-06,-4.56E-05,-0.00242049,-0.00359598,49.5,430,21.929,320,430,1/21/2021,N
SolaX Power Network Technology (Zhe jiang) Co - Ltd : A1-Fit-8.6-US [240V],240,47.4759,8613,9035.99,396.5,-2.61E-06,-4.22E-05,0.00177193,-0.00158556,42,430,22.7894,363,430,1/21/2021,N
SolaX Power Network Technology (Zhe jiang) Co - Ltd : A1-Hybrid-6.0-US [240V],240,76.4939,5570,5867.43,335,-2.71E-06,-4.26E-05,0.000676665,-0.00229771,25,425,17.5147,240,425,n/a,Y
SolaX Power Network Technology (Zhe jiang) Co - Ltd : A1-Hybrid-7.0-US [240V],240,76.9232,6666,7018.43,360,-2.61E-06,-4.12E-05,0.00105761,-0.00230985,25,425,19.4956,290,425,n/a,Y
SolaX Power Network Technology (Zhe jiang) Co - Ltd : A1-Hybrid-7.6-US [240V],240,49.2438,7642,7986.08,402,-2.27E-06,-4.04E-05,-0.00127208,-0.000949816,44,500,19.8659,304,500,1/21/2021,Y
SolaX Power Network Technology (Zhe jiang) Co - Ltd : A1-Hybrid-8.6-US [240V],240,47.3466,8604,9013.82,379,-2.56E-06,-4.07E-05,-0.000601147,-0.000323469,40,500,23.7832,258,500,1/21/2021,Y
SolaX Power Network Technology (Zhe jiang) Co Ltd : A1-Hybrid-6.0-US [240V],240,76.4939,5570,5867.43,335,-2.71E-06,-4.26E-05,0.000676665,-0.00229771,25,425,17.5147,240,425,n/a,Y
SolaX Power Network Technology (Zhe jiang) Co Ltd : A1-Hybrid-7.0-US [240V],240,76.9232,6666,7018.43,360,-2.61E-06,-4.12E-05,0.00105761,-0.00230985,25,425,19.4956,290,425,n/a,Y
SolaX Power Network Technology (Zhe jiang) Co Ltd : A1-Hybrid-7.6-US [240V],240,49.2438,7642,7986.08,402,-2.27E-06,-4.04E-05,-0.00127208,-0.000949816,44,500,19.8659,304,500,1/21/2021,Y
SolaX Power Network Technology (Zhe jiang) Co Ltd : A1-Hybrid-8.6-US [240V],240,47.3466,8604,9013.82,379,-2.56E-06,-4.07E-05,-0.000601147,-0.000323469,40,500,23.7832,258,500,1/21/2021,Y
SolarEdge Technologies Ltd : SE10000A-US [208V],208,16.1139,9930,10242.8,375,-1.24E-06,2.65E-05,0.000266706,-0.000756252,5.75,480,27.3142,325,480,10/15/2018,N
SolarEdge Technologies Ltd : SE10000A-US [240V],240,17.4931,9940,10204.9,400,-9.01E-07,2.54E-05,-0.000385545,-0.000926955,5.95,480,25.5123,360,480,10/15/2018,N
SolarEdge Technologies Ltd : SE10000H-US [240V],240,28.6642,9994,10144.7,395,-1.67E-06,4.45E-05,0.000494639,0.0014565,6,480,25.6828,360,480,2/22/2022,Y
SolarEdge Technologies Ltd : SE100KUS [480V],480,91.9985,33300,33878.9,850,-3.02E-07,1.75E-05,0.00258759,0.000861337,5.05,950,39.8575,790,950,02/03/2020,N
SolarEdge Technologies Ltd : SE10KUS [480V],480,45.3022,9850,10061.3,882,-1.05E-06,1.25E-06,0.000251921,0.000140613,3.13,962,11.4074,100,962,10/15/2018,N
SolarEdge Technologies Ltd : SE11400A-US [240V],240,17.7754,11390,11706.6,400,-8.95E-07,2.59E-05,0.000889756,0.00044636,5.95,480,29.2664,360,480,10/15/2018,N
SolarEdge Technologies Ltd : SE11400H-US [208V],208,30.3477,10001,10190.2,395,-2.13E-06,3.40E-06,-0.000329318,-0.00130923,5.71,480,25.798,360,480,2/22/2022,Y
SolarEdge Technologies Ltd : SE11400H-US [240V],240,32.0943,11393,11576.6,395,-1.61E-06,1.40E-07,3.67E-06,-0.00181235,6,480,29.3078,360,480,2/22/2022,Y
SolarEdge Technologies Ltd : SE120KUS [480V],480,83.1716,40252,41001.3,850,-2.57E-07,2.06E-05,0.00336804,0.00233795,7.43,950,48.2369,790,950,n/a,N
SolarEdge Technologies Ltd : SE14.4KUS [208V],208,48.2696,14510,15022.7,460,-1.34E-06,2.63E-05,0.000625902,-0.000851383,4.16,600,32.658,400,600,02/03/2020,N
SolarEdge Technologies Ltd : SE17.3KUS [208V],208,41.2948,16564,17165.4,460,-1.02E-06,2.75E-05,0.00385315,0.00129196,5.28,600,37.3162,400,600,n/a,N
SolarEdge Technologies Ltd : SE20KUS [480V],480,46.0444,20050,20485.2,882,-3.21E-07,1.08E-05,0.00164318,-0.000236442,3.48,962,23.2259,842,962,02/03/2020,N
SolarEdge Technologies Ltd : SE3000H-US [240V],240,13.5015,2962,2986.83,395,-1.88E-06,1.34E-06,-0.00128768,-0.00353624,0.8886,480,7.5616,360,480,08/02/2021,Y
SolarEdge Technologies Ltd : SE3000x [208V],208,9.79289,3020,3103.48,350,-3.87E-06,1.80E-05,0.00433055,0.000314927,3.71,480,8.8671,305,480,10/15/2018,N
SolarEdge Technologies Ltd : SE3000x [240V],240,14.2174,3010,3085.35,388,-3.14E-06,5.18E-06,0.000702697,-6.63E-05,3.39,480,7.95193,100,480,10/15/2018,N
SolarEdge Technologies Ltd : SE30KUS [480V],480,56.4316,30159,30678.8,850,-2.17E-07,1.22E-05,0.00333474,0.00101919,7.06,950,36.0927,790,950,02/03/2020,N
SolarEdge Technologies Ltd : SE33.3KUS [480V],480,90.3895,33300,33865.5,850,-2.75E-07,1.79E-05,0.00273493,0.000939014,5.05,950,39.8417,790,950,02/03/2020,N
SolarEdge Technologies Ltd : SE3300x [208V],208,10.9016,3288,3390.59,410,-2.82E-06,3.22E-05,0.00513054,0.00543269,5.55,500,8.26974,320,500,10/15/2018,N
