Date,Hour,Price kWh
09/01/2022,13,0.106
09/01/2022,14,0.09184
09/01/2022,15,0.08128
09/01/2022,16,0.07232
09/01/2022,17,0.0991
09/01/2022,18,0.13026
09/01/2022,19,0.1615
09/01/2022,20,0.17162
09/01/2022,21,0.16121
09/01/2022,22,0.13916
09/01/2022,23,0.132
09/01/2022,24,0.10634
10/01/2022,1,0.10598
10/01/2022,2,0.09679
10/01/2022,3,0.09531
10/01/2022,4,0.09019
10/01/2022,5,0.093
10/01/2022,6,0.098
10/01/2022,7,0.11767
10/01/2022,8,0.13267
10/01/2022,9,0.14184
10/01/2022,10,0.14144
10/01/2022,11,0.1253
10/01/2022,12,0.101
10/01/2022,13,0.0976
10/01/2022,14,0.0955
10/01/2022,15,0.0926
10/01/2022,16,0.092
10/01/2022,17,0.098
10/01/2022,18,0.13328
10/01/2022,19,0.14474
10/01/2022,20,0.14107
10/01/2022,21,0.12484
10/01/2022,22,0.10965
10/01/2022,23,0.0928
10/01/2022,24,0.0643
11/01/2022,1,0.035
11/01/2022,2,0.008
11/01/2022,3,0.00416
11/01/2022,4,0.00416
11/01/2022,5,0.00416
11/01/2022,6,0.00553
11/01/2022,7,0.06437
11/01/2022,8,0.09999
11/01/2022,9,0.13902
11/01/2022,10,0.13867
11/01/2022,11,0.13
11/01/2022,12,0.10735
11/01/2022,13,0.09596
11/01/2022,14,0.08477
11/01/2022,15,0.06602
11/01/2022,16,0.06287
11/01/2022,17,0.08515
11/01/2022,18,0.13
11/01/2022,19,0.13495
11/01/2022,20,0.13196
11/01/2022,21,0.13665
11/01/2022,22,0.13507
11/01/2022,23,0.11516
11/01/2022,24,0.09308
12/01/2022,1,0.0695
12/01/2022,2,0.0566
12/01/2022,3,0.056
12/01/2022,4,0.056
12/01/2022,5,0.0557
12/01/2022,6,0.0566
12/01/2022,7,0.09112
12/01/2022,8,0.11891
12/01/2022,9,0.1221
12/01/2022,10,0.12
12/01/2022,11,0.10284
12/01/2022,12,0.0986
12/01/2022,13,0.08567
12/01/2022,14,0.08159
12/01/2022,15,0.07034
12/01/2022,16,0.07076
12/01/2022,17,0.09418
12/01/2022,18,0.12063
12/01/2022,19,0.13289
12/01/2022,20,0.14143
12/01/2022,21,0.14222
12/01/2022,22,0.11474
12/01/2022,23,0.10479
12/01/2022,24,0.06132
13/01/2022,1,0.05983
13/01/2022,2,0.0442
13/01/2022,3,0.03905
13/01/2022,4,0.039
13/01/2022,5,0.0387
13/01/2022,6,0.039
13/01/2022,7,0.05892
13/01/2022,8,0.09258
13/01/2022,9,0.11133
13/01/2022,10,0.10603
13/01/2022,11,0.09874
13/01/2022,12,0.09117
13/01/2022,13,0.08289
13/01/2022,14,0.07614
13/01/2022,15,0.07796
13/01/2022,16,0.08
13/01/2022,17,0.09014
13/01/2022,18,0.11313
13/01/2022,19,0.12808
13/01/2022,20,0.149
13/01/2022,21,0.1547
13/01/2022,22,0.13869
13/01/2022,23,0.11037
13/01/2022,24,0.10394
14/01/2022,1,0.08
14/01/2022,2,0.0735
14/01/2022,3,0.06591
14/01/2022,4,0.04995
14/01/2022,5,0.04537
14/01/2022,6,0.045
14/01/2022,7,0.04823
14/01/2022,8,0.05939
14/01/2022,9,0.06065
14/01/2022,10,0.06871
14/01/2022,11,0.05423
14/01/2022,12,0.0454
14/01/2022,13,0.0454
14/01/2022,14,0.045
14/01/2022,15,0.04
14/01/2022,16,0.035
14/01/2022,17,0.04297
14/01/2022,18,0.05423
14/01/2022,19,0.0645
14/01/2022,20,0.06978
14/01/2022,21,0.05452
14/01/2022,22,0.045
14/01/2022,23,0.0442
14/01/2022,24,0.035
15/01/2022,1,0.025
15/01/2022,2,0.01708
15/01/2022,3,0.01394
15/01/2022,4,0.00416
15/01/2022,5,0.0031
15/01/2022,6,0.00416
15/01/2022,7,0.00416
15/01/2022,8,0.005
15/01/2022,9,0.01618
15/01/2022,10,0.02673
15/01/2022,11,0.0311
15/01/2022,12,0.02461
15/01/2022,13,0.023
15/01/2022,14,0.02194
15/01/2022,15,0.01923
15/01/2022,16,0.015
15/01/2022,17,0.01993
15/01/2022,18,0.03
15/01/2022,19,0.0356
15/01/2022,20,0.04
15/01/2022,21,0.05056
15/01/2022,22,0.04128
15/01/2022,23,0.0345
15/01/2022,24,0.023
16/01/2022,1,0.00416
16/01/2022,2,0.003
16/01/2022,3,0.00416
16/01/2022,4,0.003
16/01/2022,5,0.003
16/01/2022,6,0.00416
16/01/2022,7,0.00416
16/01/2022,8,0.012
16/01/2022,9,0.0228
16/01/2022,10,0.0228
16/01/2022,11,0.0209
16/01/2022,12,0.014
16/01/2022,13,0.014
16/01/2022,14,0.015
16/01/2022,15,0.00969
16/01/2022,16,0.00969
16/01/2022,17,0.00969
16/01/2022,18,0.014
16/01/2022,19,0.0224
16/01/2022,20,0.03175
16/01/2022,21,0.0342
16/01/2022,22,0.02461
16/01/2022,23,0.00999
16/01/2022,24,0.00416
17/01/2022,1,0.00416
17/01/2022,2,0.00416
17/01/2022,3,0.00299
17/01/2022,4,0.00149
17/01/2022,5,0.00065
17/01/2022,6,0.00149
17/01/2022,7,0.00416
17/01/2022,8,0.00416
17/01/2022,9,0.0047
17/01/2022,10,0.00485
17/01/2022,11,0.00416
17/01/2022,12,0.00416
17/01/2022,13,0.00416
17/01/2022,14,0.00416
17/01/2022,15,0.00416
17/01/2022,16,0.00416
17/01/2022,17,0.00416
17/01/2022,18,0.00416
17/01/2022,19,0.00495
17/01/2022,20,0.01246
17/01/2022,21,0.0175
17/01/2022,22,0.0122
17/01/2022,23,0.00495
17/01/2022,24,0.00416
18/01/2022,1,0.0038
18/01/2022,2,0.00057
18/01/2022,3,0.0001
18/01/2022,4,0.0001
18/01/2022,5,0.00012
18/01/2022,6,0.00065
18/01/2022,7,0.0018
18/01/2022,8,0.01
18/01/2022,9,0.021
18/01/2022,10,0.02134
18/01/2022,11,0.0126
18/01/2022,12,0.00416
18/01/2022,13,0.00416
18/01/2022,14,0.00416
18/01/2022,15,0.00416
18/01/2022,16,0.00416
18/01/2022,17,0.00416
18/01/2022,18,0.014
18/01/2022,19,0.03574
18/01/2022,20,0.10595
18/01/2022,21,0.1227
18/01/2022,22,0.1
18/01/2022,23,0.02559
18/01/2022,24,0.014
19/01/2022,1,0.04086
19/01/2022,2,0.02999
19/01/2022,3,0.02498
19/01/2022,4,0.02461
19/01/2022,5,0.024
19/01/2022,6,0.02461
19/01/2022,7,0.0264
19/01/2022,8,0.062
19/01/2022,9,0.0948
19/01/2022,10,0.06672
19/01/2022,11,0.0268
19/01/2022,12,0.0226
19/01/2022,13,0.02194
19/01/2022,14,0.021
19/01/2022,15,0.01857
19/01/2022,16,0.01835
19/01/2022,17,0.02
19/01/2022,18,0.02461
19/01/2022,19,0.03859
19/01/2022,20,0.04885
19/01/2022,21,0.0548
19/01/2022,22,0.0413
19/01/2022,23,0.03
19/01/2022,24,0.02194
20/01/2022,1,0.0489
20/01/2022,2,0.0445
20/01/2022,3,0.02999
20/01/2022,4,0.03
20/01/2022,5,0.03701
20/01/2022,6,0.048
20/01/2022,7,0.0537
20/01/2022,8,0.07172
20/01/2022,9,0.09058
20/01/2022,10,0.09338
20/01/2022,11,0.08382
20/01/2022,12,0.077
20/01/2022,13,0.08285
20/01/2022,14,0.07677
20/01/2022,15,0.075
20/01/2022,16,0.075
20/01/2022,17,0.0883
20/01/2022,18,0.11597
20/01/2022,19,0.1643
20/01/2022,20,0.2078
20/01/2022,21,0.19795
